pos_words,pos_counts,neu_words,neu_counts,neg_words,neg_counts
climate,9133,change,2755,climate,6117
change,8995,climate,2732,change,6093
president,2131,say,678,say,1631
say,1974,president,650,president,1304
go,1688,go,463,go,1003
think,1543,trump,401,think,940
issue,1435,think,398,trump,887
trump,1278,issue,350,people,757
like,1159,talk,327,issue,655
get,1142,people,309,talk,596
talk,1074,get,304,get,596
make,1064,believe,276,believe,588
people,1001,know,266,one,507
want,933,one,265,know,506
one,931,make,238,make,502
know,904,come,236,world,464
state,818,see,220,want,458
believe,811,take,218,come,453
come,797,obama,214,hoax,441
world,759,want,190,take,426
paris,757,time,182,obama,421
take,744,look,181,threat,413
would,712,right,178,would,407
see,710,world,166,right,386
agreement,692,deal,164,fight,385
right,689,paris,162,see,381
obama,680,question,161,time,374
unite,606,new,159,global,364
well,605,would,158,real,339
global,594,back,157,look,334
energy,591,real,155,like,331
deal,585,today,151,paris,331
look,567,happen,138,call,326
time,542,lot,138,donald,322
also,515,state,138,lot,309
good,514,meet,131,state,303
new,508,pope,125,new,296
real,497,house,125,science,291
thank,482,something,123,today,284
pope,478,science,123,deal,284
back,478,big,118,back,278
things,471,like,117,question,272
work,461,years,114,problem,272
need,459,last,114,also,253
lot,459,first,114,happen,248
question,453,country,112,really,240
today,437,work,111,things,240
really,434,let,111,work,237
much,422,also,111,way,229
care,421,administration,110,pope,228
something,416,way,108,something,227
country,411,things,107,many,224
job,407,need,105,cause,220
donald,406,many,103,even,216
way,399,global,102,need,215
let,399,white,101,whether,214
clean,394,could,99,could,213
warm,383,try,99,house,212
important,382,whether,99,terrorism,211
house,370,much,98,years,209
could,364,call,97,much,209
big,363,donald,97,administration,208
first,360,human,96,let,208
clinton,350,tell,95,warm,205
interest,348,ask,93,tell,205
america,340,hear,92,country,204
hear,340,plan,92,first,202
whether,333,live,91,clinton,202
even,324,even,91,big,198
happen,321,clinton,88,still,197
give,321,two,85,war,196
white,318,put,85,white,195
thing,315,gore,85,security,188
meet,309,thing,84,ask,188
ask,304,really,83,scientists,186
help,302,concern,82,national,184
address,301,point,81,deny,183
security,298,cause,81,epa,181
great,298,give,80,fact,179
last,296,week,79,next,178
call,294,move,78,face,177
science,291,epa,78,try,177
next,291,reporter,77,hear,176
try,289,leave,76,well,176
put,287,al,76,reporter,172
party,287,address,75,put,172
administration,287,around,74,debate,167
two,282,fight,73,american,167
tell,282,impact,71,attack,166
years,281,environmental,71,planet,162
fight,281,part,70,around,159
hoax,280,campaign,70,last,158
around,278,policy,69,two,158
part,269,use,69,leave,157
american,265,different,69,give,157
many,265,debate,68,use,156
campaign,263,accord,68,thing,155
leave,259,speak,68,part,155
national,249,day,68,america,153
point,247,american,67,combat,153
support,246,well,66,job,152
still,245,action,66,point,152
gore,245,next,66,crisis,151
china,244,sanders,65,campaign,151
agree,244,republicans,65,biggest,150
reporter,244,america,65,address,148
