WORDS,X,Y,COLOR
say,1.5713752109120416,1.2907010853622762,green
trump,1.5559190612965135,0.7665982203969883,green
believe,0.8913046278287974,0.529969688080571,green
real,0.8410721415783304,0.40481079495453215,green
good,0.7418951815453574,0.3539649946220788,green
new,0.6027898350056029,0.3428832176265441,green
global,0.39799585259985315,0.2522733939571722,green
fight,0.3967078401318925,0.23076170920113426,green
great,0.3851157279202463,0.2099018936801278,green
warm,0.3812516905163642,0.16166357028780026,green
say,2.392202311966955,1.3492228595203424,blue
go,2.18121303973136,0.9881422924901186,blue
trump,1.3473596624171644,0.8410353948111385,blue
think,0.6496092240943806,0.789770869862403,blue
people,0.6264301209473715,0.5787690570299266,blue
believe,0.5022139015185284,0.5341912092484175,blue
global,0.49448753380285876,0.4190317691461856,blue
world,0.46417639891830853,0.4034295224226574,blue
fight,0.35303557100829097,0.23997741389045735,blue
warm,0.34233752340197915,0.22734702368569648,blue
say,1.938256247879679,1.326975476839237,red
people,1.8862377021372838,0.7438692098092643,red
trump,1.029062535338686,0.7029972752043596,red
get,0.6852877982585095,0.667574931880109,red
make,0.468166911681556,0.4822888283378747,red
world,0.4478118285649667,0.45504087193460496,red
believe,0.3980549587244148,0.3896457765667575,red
global,0.3980549587244148,0.2970027247956403,red
warm,0.38674657921519845,0.22343324250681199,red
due,0.36639149609860905,0.024523160762942777,red
