WORDS,X,Y,COLOR
global,1.5465747173064246,0.0,green
warm,1.5313625069722632,0.0,green
new,0.8277977790172912,0.0,green
real,0.7301860960397546,0.0,green
amp,0.6148268343390295,0.0,green
us,0.410729679022362,0.0,green
believe,0.39171441610465996,0.0,green
good,0.3904467319101465,0.0,green
president,0.0,1.1953485350483986,green
think,0.0,0.9887611251867733,green
go,0.0,0.9153511336321705,green
issue,0.0,0.8295978691613072,green
get,0.0,0.663288507763269,green
people,0.0,0.6593906321055024,green
make,0.0,0.6321055025011368,green
talk,0.0,0.602221789124927,green
say,0.8772374626033163,1.2862989670629508,green
trump,0.5932762030323006,0.7639836289222374,green
global,1.9089835831866884,0.0,red
warm,1.8577506515492392,0.0,red
amp,0.5412870603434834,0.0,red
believe,0.46109638473704145,0.0,red
make,0.4410487158354309,0.0,red
due,0.3920433029648274,0.0,red
us,0.3920433029648274,0.0,red
world,0.3920433029648274,0.0,red
go,0.0,1.127472288632906,red
president,0.0,1.0649858726363834,red
think,0.0,0.8041730058682895,red
people,0.0,0.7416865898717669,red
get,0.0,0.6656161703977396,red
talk,0.0,0.6493153662247337,red
issue,0.0,0.6004129537057161,red
one,0.0,0.5650945446642034,red
say,1.0135210389147529,1.3230819387089763,red
trump,0.67493818635422,0.7009345794392523,red
global,2.343740901626935,0.0,blue
warm,2.13702586558282,0.0,blue
amp,0.5298892473243505,0.0,blue
fight,0.4547730792970524,0.0,blue
us,0.43846879476399553,0.0,blue
president,0.0,1.3728163108062055,blue
issue,0.0,0.6978915082457882,blue
talk,0.0,0.6156558846626857,blue
people,0.0,0.5771310880291604,blue
get,0.0,0.5749085036079954,blue
say,1.3200647513014312,1.3454044362785047,blue
go,0.6364493926654011,0.9853457600497859,blue
trump,0.6137398534943576,0.8386551882529005,blue
think,0.4920400153726111,0.787535746566107,blue
believe,0.4844701689822633,0.5326793996058617,blue
