pos_words,pos_counts,neg_words,neg_counts,neu_words,neu_counts
climate,9133,climate,6117,change,2755
change,8995,change,6093,climate,2732
president,2131,say,1631,say,678
say,1974,president,1304,president,650
go,1688,go,1003,go,463
think,1543,think,940,trump,401
issue,1435,trump,887,think,398
trump,1278,people,757,issue,350
like,1159,issue,655,talk,327
get,1142,talk,596,people,309
talk,1074,get,596,get,304
make,1064,believe,588,believe,276
people,1001,one,507,know,266
want,933,know,506,one,265
one,931,make,502,make,238
know,904,world,464,come,236
state,818,want,458,see,220
believe,811,come,453,take,218
come,797,hoax,441,obama,214
world,759,take,426,want,190
paris,757,obama,421,time,182
take,744,threat,413,look,181
would,712,would,407,right,178
see,710,right,386,world,166
agreement,692,fight,385,deal,164
right,689,see,381,paris,162
obama,680,time,374,question,161
unite,606,global,364,new,159
well,605,real,339,would,158
us,595,look,334,back,157
global,594,like,331,real,155
energy,591,paris,331,today,151
deal,585,call,326,happen,138
look,567,donald,322,lot,138
time,542,lot,309,state,138
also,515,state,303,meet,131
good,514,new,296,us,127
new,508,us,293,pope,125
real,497,science,291,house,125
thank,482,today,284,something,123
pope,478,deal,284,science,123
back,478,back,278,big,118
things,471,question,272,like,117
work,461,problem,272,years,114
need,459,also,253,last,114
lot,459,happen,248,first,114
question,453,really,240,country,112
today,437,things,240,work,111
really,434,work,237,let,111
much,422,way,229,also,111
care,421,pope,228,administration,110
something,416,something,227,way,108
country,411,many,224,things,107
job,407,cause,220,need,105
donald,406,even,216,many,103
way,399,need,215,global,102
let,399,whether,214,white,101
clean,394,could,213,could,99
warm,383,house,212,try,99
important,382,terrorism,211,whether,99
house,370,years,209,much,98
could,364,much,209,call,97
big,363,administration,208,donald,97
first,360,let,208,human,96
clinton,350,warm,205,tell,95
interest,348,tell,205,ask,93
america,340,country,204,hear,92
hear,340,first,202,plan,92
whether,333,clinton,202,live,91
even,324,big,198,even,91
happen,321,still,197,clinton,88
give,321,war,196,two,85
white,318,white,195,put,85
thing,315,security,188,gore,85
meet,309,ask,188,thing,84
ask,304,scientists,186,really,83
help,302,national,184,concern,82
address,301,deny,183,point,81
security,298,epa,181,cause,81
great,298,fact,179,give,80
last,296,next,178,week,79
call,294,face,177,move,78
science,291,try,177,epa,78
next,291,hear,176,reporter,77
try,289,well,176,leave,76
put,287,reporter,172,al,76
party,287,put,172,address,75
administration,287,debate,167,around,74
two,282,american,167,fight,73
tell,282,attack,166,impact,71
years,281,planet,162,environmental,71
fight,281,around,159,part,70
hoax,280,last,158,campaign,70
around,278,two,158,policy,69
part,269,leave,157,use,69
american,265,give,157,different,69
many,265,use,156,debate,68
campaign,263,thing,155,accord,68
leave,259,part,155,speak,68
national,249,america,153,day,68
point,247,combat,153,american,67
support,246,job,152,well,66
still,245,point,152,action,66
gore,245,crisis,151,next,66
china,244,campaign,151,sanders,65
agree,244,biggest,150,republicans,65
reporter,244,address,148,america,65
immigration,242,leaders,148,show,65
policy,240,meet,148,every,63
debate,238,hillary,143,year,63
live,237,mean,143,lead,63
start,234,view,142,national,63
countries,233,important,142,view,63
speak,233,already,141,may,62
lead,230,report,140,position,62
plan,228,live,139,activity,62
focus,228,plan,139,security,62
republican,227,isis,138,immigration,61
hillary,225,lead,138,leadership,61
bring,225,start,138,hoax,61
al,224,week,137,bring,59
sure,223,may,133,mean,59
accord,223,terror,133,still,59
move,222,republican,132,leaders,58
trade,221,china,132,hillary,57
action,221,course,131,focus,57
environment,219,immigration,131,actually,56
health,219,republicans,130,rise,56
mean,218,focus,130,effect,56
show,215,impact,127,alaska,56
join,212,chinese,124,man,56
leaders,211,concern,123,republican,56
economy,211,another,123,already,55
concern,209,move,123,fact,55
impact,206,rise,122,job,55
fact,204,speak,121,vote,54
together,203,human,120,scientists,54
planet,203,political,119,pruitt,54
protect,201,gore,119,planet,53
use,201,energy,118,order,53
year,200,sanders,118,carbon,53
day,198,answer,117,secretary,53
epa,196,year,116,head,53
actually,196,unite,116,washington,53
sanders,195,continue,116,place,53
clear,193,day,115,government,52
secretary,193,stop,114,sign,52
human,191,ca,113,understand,52
week,189,head,112,threat,52
top,189,seem,112,political,51
every,188,economy,112,countries,51
create,185,denier,111,conference,51
understand,184,run,110,continue,51
find,184,action,110,seem,51
cause,183,wrong,110,do,50
combat,183,trade,109,term,50
play,183,actually,109,congress,49
yes,182,accord,109,china,48
number,180,summit,108,start,48
republicans,180,money,108,warm,48
political,176,vote,107,energy,48
do,174,effect,107,number,47
power,174,problems,107,level,47
report,173,democrats,105,mind,47
answer,173,show,104,answer,47
scientists,173,al,104,trade,46
democrats,171,environmental,103,open,46
stand,170,man,103,york,46
view,170,countries,102,bernie,46
position,168,number,102,unite,46
end,168,position,101,join,45
carbon,166,news,101,run,45
another,166,york,101,find,45
sign,166,serious,101,march,44
government,166,guy,100,side,44
