pos_words,pos_counts,neg_words,neg_counts,neu_words,neu_counts
climate,6124,climate,3373,climate,13760
change,6011,change,3303,change,13535
global,1220,global,857,global,4025
warm,1208,warm,834,warm,3670
trump,692,trump,455,trump,2267
new,653,say,303,say,1093
real,576,amp,243,believe,1054
amp,485,believe,207,amp,910
say,468,make,198,go,845
us,324,due,176,think,832
believe,309,us,176,fight,781
good,308,world,176,us,753
fight,299,people,171,doesnt,752
dont,297,get,162,shes,612
great,296,think,147,world,594
right,291,go,141,people,576
people,287,worse,139,make,532
make,267,fuck,139,need,489
think,239,bad,136,cause,466
world,237,epa,136,like,459
scientists,236,like,135,dont,452
like,235,deny,135,epa,450
