pos_words,pos_counts,neu_words,neu_counts,neg_words,neg_counts
climate,8330,climate,7554,climate,2098
change,8261,change,7502,change,2080
say,1980,president,1853,say,487
president,1840,say,1816,go,415
think,1522,go,1330,president,392
go,1409,trump,1132,think,296
issue,1277,think,1063,people,273
trump,1176,issue,942,trump,258
get,1021,talk,831,get,245
people,1015,people,779,talk,239
make,973,get,776,issue,221
talk,927,believe,719,one,208
want,868,know,654,like,194
one,850,make,654,know,191
right,843,come,647,make,177
know,831,one,645,would,170
believe,813,like,614,world,167
like,799,obama,610,take,165
come,684,paris,587,come,155
world,679,take,580,see,146
take,643,want,572,believe,143
see,628,global,564,want,141
real,621,state,547,state,131
would,606,world,543,obama,130
state,581,see,537,paris,126
obama,575,would,501,look,120
time,554,back,479,deal,112
good,543,deal,440,call,110
paris,537,time,436,global,109
look,527,look,435,time,108
new,526,question,404,mean,107
many,502,new,402,hoax,106
deal,481,big,392,today,102
much,468,house,375,bad,99
first,458,lot,375,question,98
important,456,today,372,way,97
pope,450,agreement,366,science,96
energy,449,also,356,well,95
really,449,hoax,349,serious,95
also,439,right,347,need,94
lot,437,donald,332,lot,94
well,425,well,327,donald,92
work,417,something,327,cause,90
things,405,white,325,things,90
donald,401,fight,323,wrong,88
need,400,things,323,years,87
today,398,unite,322,country,87
global,387,science,320,threat,87
question,384,happen,316,work,84
country,383,call,314,also,84
clean,380,work,308,pope,83
let,376,warm,306,happen,83
back,374,last,306,warm,82
unite,371,real,305,agreement,81
way,370,pope,298,tell,78
something,364,could,296,even,78
thank,359,whether,290,problem,76
fight,354,next,288,unite,75
agreement,344,meet,286,something,75
interest,337,need,285,clinton,72
job,331,administration,282,could,72
hoax,327,let,279,china,69
great,322,way,269,try,68
even,315,years,262,security,68
clinton,312,really,259,house,67
threat,309,country,257,impact,66
happen,308,clinton,256,real,65
could,308,try,255,let,63
america,301,tell,250,use,63
hear,298,hear,248,right,63
whether,295,energy,247,base,63
call,293,ask,242,hear,62
thing,290,american,241,administration,62
science,289,security,240,effect,62
ask,285,even,238,fight,62
care,275,job,238,planet,62
give,274,human,229,energy,61
put,267,give,229,whether,61
house,265,address,222,fact,60
administration,261,threat,220,back,60
two,257,put,218,leave,60
years,255,much,217,campaign,59
tell,254,two,217,around,59
address,253,national,215,put,59
part,253,leave,215,point,58
meet,251,epa,214,ask,58
sure,248,campaign,214,thing,57
warm,248,still,212,care,57
try,242,cause,212,america,56
around,241,around,211,big,56
point,241,week,209,past,56
security,240,thing,207,reporter,55
live,240,debate,203,give,55
kind,240,reporter,202,worst,53
still,239,america,201,party,53
fact,237,gore,200,seem,53
white,237,lead,199,hard,52
reporter,236,care,199,already,52
big,231,part,198,vote,52
national,230,first,197,white,52
debate,229,speak,196,two,51
plan,228,accord,196,meet,51
last,226,focus,194,national,51
top,221,action,194,sanders,50
american,217,policy,189,every,50
leave,217,move,189,still,50
hillary,214,plan,188,address,49
start,214,use,188,poor,49
campaign,211,actually,187,really,49
immigration,210,problem,186,live,49
concern,208,year,185,course,48
scientists,205,leaders,184,day,47
economy,205,republican,182,behind,47
planet,205,china,182,view,47
next,204,point,181,decision,46
gore,204,immigration,180,worse,46
face,201,political,178,little,45
trade,200,live,178,job,45
al,199,mean,172,economy,45
move,197,thank,169,help,45
epa,197,help,168,gore,45
combat,195,hillary,168,immigration,44
lead,192,start,168,agree,44
speak,192,al,167,leaders,44
focus,191,view,166,weather,44
republican,190,countries,166,epa,44
together,190,scientists,166,bring,44
leaders,189,answer,165,continue,44
problem,189,concern,163,fuel,44
policy,188,impact,163,much,44
help,188,chinese,157,republican,43
show,188,environmental,156,concern,43
action,186,show,156,next,43
bring,185,may,154,plan,43
day,184,different,152,part,43
cause,182,republicans,152,hillary,43
countries,182,sanders,152,isis,43
agree,182,planet,151,money,43
republicans,182,bring,151,environment,42
sanders,176,day,150,expect,42
report,175,another,149,scientists,42
accord,175,head,149,run,41
impact,175,report,149,debate,41
use,175,party,149,republicans,41
china,173,health,149,affect,41
power,169,trade,148,find,41
do,167,international,146,face,41
may,166,course,145,american,41
york,165,environment,144,human,40
join,163,position,144,join,40
water,162,secretary,144,show,40
party,162,every,143,understand,40
view,162,major,141,problems,40
number,160,former,141,lead,40
support,159,fact,141,military,40
democrats,159,seem,140,week,40
secretary,156,bill,140,idea,39
week,156,sign,138,combat,39
find,156,summit,137,news,39
every,155,number,136,year,39
year,155,end,136,least,39
position,154,man,136,ca,39
better,154,combat,134,guy,38
challenge,154,deny,133,countries,38
clear,153,government,132,start,38
environment,153,understand,132,bill,38
understand,153,keep,132,rise,38
americans,152,already,131,al,38
continue,151,include,131,emissions,37
man,150,continue,131,move,37
economic,149,carbon,129,word,37
another,149,agree,129,head,37
government,149,future,128,side,37
best,149,join,126,dangerous,37
actually,148,run,126,senator,37
effect,148,ca,125,democrats,36
term,147,open,125,carbon,36
rise,146,conference,125,away,36
course,146,term,124,devastate,36
political,146,expect,123,last,36
carbon,145,emissions,122,storm,36
able,145,find,122,fossil,36
vote,144,pruitt,122,everything,35
environmental,144,protect,121,oil,35
create,143,stand,121,nuclear,35
stand,143,create,120,bernie,35
mean,141,activity,120,difficult,35
bernie,140,general,120,new,35
answer,139,vote,119,deny,35
health,139,money,119,play,34
terrorism,139,ago,119,stand,34
human,138,place,119,listen,34
include,137,support,119,stop,34
end,137,speech,118,company,34
congress,137,effect,118,speak,34
feel,136,democrats,118,another,34
future,136,congress,117,may,33
tax,135,rise,116,green,33
seem,135,decision,116,position,33
morning,135,face,115,number,33
fuel,134,bernie,115,together,33
ca,134,level,114,level,33
money,131,pull,114,seriously,33
protect,131,away,113,answer,33
summit,129,tweet,113,sign,32
message,129,war,112,secretary,32
place,128,set,112,policy,32
news,128,public,112,report,32
biggest,128,power,112,reality,32
air,128,economy,112,support,32
guy,126,biggest,112,cold,32
deny,125,together,111,environmental,31
break,124,break,111,thank,31
senator,122,washington,110,biggest,31
yes,121,order,110,term,31
example,121,word,110,act,31
play,121,weather,109,keep,30
level,120,step,109,coal,30
agenda,120,news,108,create,30
matter,120,alaska,108,system,30
washington,119,do,106,maybe,30
welcome,119,senator,106,focus,30
leader,118,fuel,105,water,29
business,118,listen,105,crisis,29
ahead,118,feel,105,break,29
run,117,message,105,keystone,29
become,117,attack,105,crazy,29
keep,115,york,105,justice,29
sign,115,ahead,104,tough,29
maybe,115,francis,104,accord,29
record,115,maybe,104,international,29
stop,115,agency,104,scientific,29
isis,114,far,103,contribute,28
greatest,114,guy,103,leadership,28
decision,113,department,103,cut,28
far,113,push,103,protect,28
free,113,important,102,agenda,28
love,113,policies,102,since,28
pruitt,113,governor,102,california,28
role,112,leadership,102,rest,28
francis,111,side,101,end,28
might,111,clear,100,women,28
certainly,111,storm,100,trade,28
already,111,spend,100,fund,28
speech,110,russia,100,attack,28
reason,110,matter,99,activity,27
raise,110,little,98,role,27
strong,110,record,98,oppose,27
tonight,110,terrorism,98,yeah,27
build,109,past,98,do,27
pull,109,sort,98,step,27
discuss,108,mention,97,india,27
russia,108,gas,96,pull,27
step,108,agenda,96,movement,27
chinese,108,hard,96,chinese,27
system,107,since,96,denier,27
different,107,study,96,never,26
okay,106,tonight,95,conference,26
emissions,106,night,95,pipeline,26
word,106,election,95,criminal,26
push,106,build,93,government,26
forward,106,stay,91,less,26
huge,105,mind,91,nations,26
always,105,regulations,91,nothing,26
side,105,isis,90,foreign,26
bill,105,nations,90,almost,26
win,105,name,90,actually,26
women,105,everything,90,skeptical,26
nations,104,water,89,common,25
major,104,raise,89,sea,25
head,104,might,89,reform,25
ago,103,interest,89,man,25
listen,103,long,88,summit,25
true,103,become,88,terror,25
sort,102,sea,88,health,25
never,102,play,88,blame,25
international,102,iran,87,air,25
alaska,101,reason,87,tweet,25
mind,101,quote,86,read,24
stay,100,discuss,86,former,24
spend,100,tax,86,increase,24
leadership,99,john,86,threats,24
pay,98,three,86,watch,24
away,98,coal,85,inequality,24
gun,98,act,85,hope,24
fossil,97,scott,84,anything,24
ever,97,across,83,tonight,24
act,97,later,83,include,24
democratic,96,march,83,order,24
governor,96,yes,82,place,24
everything,96,company,82,iran,24
crisis,95,couple,82,long,24
voters,95,industry,82,feel,24
policies,95,women,82,matter,24
earth,95,yesterday,81,evil,24
since,94,begin,81,flood,23
conference,94,air,81,scientist,23
nation,94,nuclear,81,destroy,23
significant,94,least,81,earth,23
anything,94,middle,81,record,23
whole,94,crisis,80,congress,23
florida,94,fossil,80,governor,23
hold,93,cut,80,challenge,23
tweet,93,anything,80,case,23
election,93,contribute,79,might,22
public,92,americans,79,days,22
coal,92,economic,79,democratic,22
war,91,leader,79,late,22
press,91,many,79,message,22
set,91,forward,79,gas,22
yesterday,91,lose,79,pay,22
mention,91,reduce,78,legislation,22
oil,91,military,78,war,22
absolutely,90,enough,78,mind,22
weather,90,key,77,political,22
storm,90,earth,77,fake,22
sea,89,executive,77,mention,22
affect,89,role,77,raise,22
inequality,88,challenge,76,without,22
politics,88,earlier,76,francis,21
moment,87,denier,76,violent,21
former,87,worry,75,first,21
pretty,87,days,75,group,21
california,86,hold,75,washington,21
community,85,yet,75,conversation,21
scientist,85,visit,75,study,21
college,85,wall,75,line,21
latest,84,always,75,future,21
watch,84,democratic,75,reason,21
gas,84,business,75,greg,21
person,84,florida,75,bite,20
home,84,sit,74,begin,20
turn,84,home,74,discuss,20
life,84,turn,74,north,20
candidate,83,conversation,74,worry,20
open,83,base,74,fail,20
children,83,group,73,someone,20
line,83,california,73,tax,20
presidential,82,good,73,vice,20
across,82,warn,72,department,20
order,82,morning,72,community,20
hope,82,scientific,72,candidate,20
expect,81,affect,72,wall,20
exactly,81,reality,72,mayor,20
probably,81,bite,72,russia,20
nuclear,81,community,71,pruitt,20
obviously,81,moment,71,grow,20
income,80,candidate,71,risk,20
especially,80,fund,70,efforts,19
chris,80,watch,70,kill,19
industry,80,media,70,life,19
saw,79,inequality,70,push,19
john,79,serious,70,across,19
scott,79,green,70,business,19
visit,79,team,70,information,19
days,78,oil,69,force,19
problems,78,announce,69,dramatic,19
general,78,almost,69,slow,19
conversation,78,case,69,alaska,19
yeah,77,someone,69,forward,19
decide,76,tillerson,69,claim,19
begin,76,foreign,68,different,19
company,76,federal,68,ahead,19
front,75,press,68,sort,19
city,75,life,68,night,19
idea,75,roll,68,extreme,19
story,75,never,67,program,19
north,75,remember,67,florida,19
kid,75,trip,66,scott,19
iran,75,everybody,66,die,19
attack,74,millions,66,hand,19
cnn,73,wo,66,media,19
reality,73,politics,66,constitute,19
march,73,discussion,66,pick,18
denier,73,young,66,grind,18
opportunity,72,weeks,66,promise,18
everybody,72,city,66,ever,18
three,72,gun,66,sit,18
department,72,whole,66,senate,18
weeks,71,without,65,hate,18
name,71,list,65,deniers,18
enough,70,income,65,comment,18
coast,70,grind,65,ability,18
humans,70,control,65,prepare,18
activity,70,pay,65,police,18
almost,69,ever,65,basically,18
poll,69,obviously,65,black,18
special,69,historic,65,hit,18
hour,69,stop,65,must,18
high,69,terror,65,politics,18
save,69,increase,64,example,18
nothing,69,relate,64,open,18
wall,69,several,64,stay,18
flood,68,north,64,data,18
sound,68,officials,64,nation,18
though,68,second,63,hurricane,18
history,68,center,63,morning,17
everyone,68,single,63,policies,17
happy,68,program,63,spend,17
pick,68,saw,63,income,17
scientific,67,promise,63,small,17
fair,67,withdraw,63,set,17
marriage,67,pipeline,62,defend,17
wage,67,nothing,62,poverty,17
terror,67,massive,62,tackle,17
somebody,67,risk,62,john,17
fund,67,arctic,62,couple,17
senate,67,hope,62,unless,17
trip,67,voters,62,industry,17
grow,67,candidates,61,afraid,17
someone,67,possible,61,gun,17
share,66,efforts,61,action,17
among,66,vice,61,reduce,17
elect,66,clean,61,york,17
worry,65,keystone,60,major,17
bite,65,flood,60,exist,17
list,65,claim,60,sorry,17
reduce,65,comment,60,respect,17
particularly,65,months,60,truth,17
young,65,force,60,disagree,17
candidates,64,office,60,involve,17
office,64,reform,60,millions,17
pollution,64,disagree,59,sure,17
media,64,presidential,59,name,17
perhaps,64,cnn,59,press,17
case,63,history,59,jam,17
remember,63,idea,58,quote,16
long,62,plus,58,terrorism,16
social,62,story,58,home,16
lose,62,front,58,power,16
second,62,senate,58,warn,16
disagree,62,acknowledge,58,yesterday,16
arctic,62,hurricane,57,form,16
risk,62,line,57,ago,16
night,62,less,57,disappoint,16
comment,61,entire,57,shoot,16
hand,61,system,57,fire,16
vice,61,hour,57,solve,16
liberal,61,reach,57,hold,16
education,61,chris,57,sense,16
little,60,though,57,acknowledge,16
tackle,60,folks,56,reach,16
evidence,60,poverty,56,invent,16
executive,60,south,56,remember,16
gay,59,send,56,officials,16
follow,59,wage,56,exxon,16
study,59,deniers,56,illegal,16
reach,59,certainly,56,write,16
threats,59,absolutely,55,oh,16
reform,58,example,55,always,16
others,58,rest,55,hurricanes,16
ways,58,transition,54,three,15
key,58,pollution,54,immediate,15
yet,58,behind,54,ukraine,15
regulations,58,justice,54,conservatives,15
else,58,event,54,become,15
europe,58,wrong,54,cnn,15
transform,58,doubt,54,burn,15
miami,58,thousands,53,response,15
promise,58,kid,53,refugees,15
hurricane,58,likely,53,speech,15
powerful,57,decide,52,middle,15
putin,57,threaten,52,visit,15
contribute,57,follow,52,subject,15
federal,57,others,52,public,15
program,57,generation,52,compare,15
rest,57,longer,52,later,15
grind,56,especially,52,send,15
poverty,56,read,52,everybody,15
effort,56,protection,52,europe,15
plus,56,suggest,52,shock,15
will,56,tomorrow,51,yet,15
cut,56,events,51,executive,15
control,56,greenhouse,51,wage,15
withdraw,56,surprise,51,enough,15
tillerson,56,humans,51,americans,15
couple,55,grow,51,either,15
group,55,social,51,heat,15
explain,55,opinion,51,shut,15
learn,55,nation,51,consequences,15
announce,55,write,51,presidential,15
accept,55,everyone,51,stance,15
consider,55,cost,51,key,15
syria,55,person,51,election,15
minimum,54,ivanka,51,plus,15
blame,54,refuse,50,evidence,15
without,54,save,50,note,15
battle,54,among,50,inconvenient,15
interview,54,oppose,50,interest,14
century,54,miami,50,none,14
suggest,54,syria,49,extremism,14
folks,54,extreme,49,liberal,14
release,53,college,49,develop,14
sit,53,plant,49,stuff,14
close,53,barack,49,threaten,14
involve,53,consider,49,arctic,14
regard,53,temperatures,49,sick,14
generation,53,topic,49,build,14
commit,53,essentially,49,children,14
read,53,attorney,49,despite,14
middle,53,else,48,humans,14
clearly,53,difference,48,earlier,14
legacy,53,chance,48,city,14
quite,53,probably,48,figure,14
agency,53,sense,48,doubt,14
cities,53,areas,48,pass,14
school,53,yeah,48,mistake,14
solution,52,perhaps,48,failure,14
quote,52,france,48,return,14
court,52,interview,48,drought,14
rule,52,million,48,wo,14
send,52,top,48,juan,14
cost,52,hurricanes,48,texas,13
father,52,pick,48,release,13
expand,52,problems,47,capitalism,13
discussion,51,pass,47,merkel,13
basically,51,hours,47,lie,13
book,51,finally,47,pledge,13
earlier,51,poll,47,fear,13
certain,51,street,47,stupid,13
temperatures,50,personal,47,massive,13
must,50,common,47,weak,13
ice,50,ally,47,probably,13
approach,50,protest,47,hours,13
hop,50,respect,47,ice,13
deniers,50,mark,46,immigrants,13
less,50,fire,46,everyone,13
respect,50,poor,46,person,13
ivanka,50,statement,46,half,13
girl,50,ways,46,secret,13
increase,49,east,46,march,13
relationship,49,children,46,saw,13
areas,49,basically,46,weeks,13
base,49,defend,46,story,13
oppose,49,blame,45,reject,13
greenhouse,49,moral,45,accept,13
single,49,opportunity,45,else,13
research,49,close,45,especially,13
hit,49,hand,45,law,13
officials,49,pretty,45,kid,13
growth,49,heat,44,represent,13
primary,49,along,44,yes,13
overwhelm,49,progress,44,effort,13
tomorrow,48,response,44,applause,13
administrator,48,tackle,44,miami,13
street,48,minimum,44,cruz,13
