pos_words,pos_counts,neu_words,neu_counts,neg_words,neg_counts
climate,6836,climate,7470,climate,8951
change,6665,change,7425,change,8759
global,3524,trump,1031,global,2110
warm,3472,say,574,warm,1938
trump,857,global,468,trump,1526
say,598,believe,427,fight,765
like,522,people,342,think,728
believe,471,new,328,say,692
real,464,go,320,believe,672
make,420,warm,302,shes,607
new,390,real,284,go,594
help,375,world,259,deny,487
need,365,take,224,die,459
energy,362,impact,218,world,438
world,310,epa,218,people,384
people,308,talk,211,make,378
fight,298,time,209,real,368
get,292,need,207,epa,364
cause,292,think,201,hoax,348
think,289,make,199,cause,334
great,283,scientists,199,new,328
good,281,know,198,scientists,322
go,277,action,196,stop,314
paris,275,science,190,husband,301
take,269,cause,185,get,298
science,256,sensanders,174,stephenschlegel,298
action,249,millions,165,threat,297
scientists,248,get,161,donald,290
know,241,could,160,science,284
agreement,237,use,155,one,271
talk,237,yo,155,could,269
could,227,study,145,risk,256
save,227,fight,144,know,243
thank,220,tackle,142,call,238
isnt,220,call,141,take,231
one,216,one,137,deniers,231
want,216,years,131,time,228
right,212,right,130,denier,228
time,209,donald,125,warn,227
earth,202,effect,123,want,223
care,197,issue,121,need,215
issue,197,want,118,blame,205
china,192,like,118,combat,199
look,184,news,117,talk,197
well,180,come,114,right,196
would,180,lead,114,president,196
call,177,affect,114,planet,194
see,176,look,114,like,189
support,176,weather,113,report,188
create,172,show,112,weather,183
protect,170,report,110,due,183
epa,169,president,109,scott,183
impact,168,may,108,pruitt,183
hoax,167,tell,107,action,180
weather,166,due,106,see,179
tackle,165,discuss,106,ignore,178
study,164,act,105,news,171
im,162,climatechange,105,tell,170
use,161,isnt,103,impact,169
tell,160,state,103,im,167
best,159,plan,99,isnt,166
carbon,159,un,96,may,166
must,155,obama,96,must,163
state,154,address,96,issue,163
news,153,cnn,96,kill,163
work,149,see,96,lead,162
show,147,debate,93,worse,161
today,147,link,93,would,159
come,146,heres,92,war,156
find,145,meet,91,still,154
clean,144,today,91,future,153
effect,143,website,91,effect,150
give,143,future,88,even,150
years,141,carbon,88,china,149
may,140,health,88,years,147
still,140,sign,88,plan,147
stop,139,first,87,head,145
planet,137,paris,86,threaten,145
realdonaldtrump,136,research,85,problem,142
president,135,would,84,study,140
plan,132,thehill,84,destroy,138
hope,129,scott,84,realdonaldtrump,135
please,128,work,83,bad,135
address,126,must,83,let,135
join,125,policy,83,earth,134
thing,125,back,83,come,133
security,125,human,82,fuck,131
let,123,denial,82,obama,131
challenge,121,pruitt,82,carbon,129
also,121,national,81,state,128
donald,117,combat,81,country,127
really,115,ice,81,sensanders,127
deal,114,leaders,80,lose,125
environment,113,watch,79,really,123
year,113,deal,79,worry,123
way,112,environment,78,wrong,122
chinese,112,water,78,show,121
cant,112,exxon,78,cant,119
interest,111,find,77,rise,119
important,109,earth,77,face,118
better,109,oil,77,man,118
read,108,happen,77,address,117
water,108,via,76,chinese,115
climatechange,108,read,75,level,115
flood,107,flood,75,back,115
first,106,mean,75,today,115
thats,106,live,75,way,115
love,106,house,75,thats,114
national,105,planet,73,fear,113
watch,104,help,73,america,112
combat,104,remove,73,lie,112
snow,101,way,72,fake,112
solutions,100,much,72,water,111
even,99,push,72,happen,111
deny,99,question,71,year,111
top,99,china,71,big,111
health,98,start,70,also,111
human,97,extreme,70,oil,108
god,97,arctic,70,every,108
happen,96,year,70,dangerous,107
air,96,administration,69,environment,107
due,96,humans,69,biggest,107
rise,95,really,69,leaders,107
end,95,big,69,white,106
much,95,nytimes,69,work,105
future,94,email,68,government,105
ice,94,realdonaldtrump,68,question,104
unite,94,sea,68,many,103
obama,93,still,67,ice,103
day,93,snow,67,thing,102
government,93,evidence,67,find,102
lead,93,im,66,deal,102
un,92,coal,66,fail,102
report,92,face,65,disaster,102
solve,91,order,65,clinton,101
back,91,put,64,cut,100
sea,90,vote,64,denial,100
ever,90,rise,64,house,100
yes,89,leave,62,use,99
increase,89,tillerson,62,leave,99
free,88,post,61,debate,98
start,88,forest,61,health,97
agree,88,fund,61,flood,96
party,87,chief,61,un,96
vote,86,speak,60,vote,96
understand,86,government,60,much,96
big,84,scientist,60,human,96
youre,84,wont,59,fuel,96
worry,84,company,59,hes,95
share,84,nasa,59,sea,95
winter,83,white,59,end,95
explain,83,ask,58,major,94
reduce,82,mention,58,chief,94
act,82,also,58,research,93
arctic,82,cities,58,fund,92
natural,82,even,55,youre,92
win,82,food,55,wont,92
keep,82,california,55,look,92
research,82,data,54,mean,92
green,81,countries,54,climatechange,90
hot,81,children,54,pay,90
mean,80,pope,54,worst,89
job,80,thats,53,move,89
last,80,cant,53,give,88
fund,80,conference,53,affect,88
policy,80,last,53,hillary,88
reef,80,delete,53,environmental,88
debate,80,record,52,nuclear,88
affect,79,cover,52,arctic,87
build,79,head,52,paris,87
man,79,next,52,keep,87
cities,78,learn,52,berniesanders,86
record,78,spend,52,read,86
live,78,cost,52,data,86
